Project, Author, de.archivator.beans.OrganisationseinheitenBean, de.archivator.entities.Dokumentart, com.itextpdf.text.Document, org.mockito.invocation.InvocationOnMock, org.openqa.selenium.WebElement, org.openqa.selenium.WebDriver, int, javax.faces.application.FacesMessage, javax.xml.bind.JAXBElement, javax.persistence.EntityManager, de.archivator.beans.PdfExportBean, java.util.Map, java.util.ArrayList, java.lang.Short, java.util.Date, boolean, long, javax.servlet.ServletOutputStream, org.primefaces.event.TabChangeEvent, org.compass.gps.CompassGps, java.lang.String, javax.xml.bind.ValidationEvent, org.compass.gps.CompassGpsDevice, java.lang.reflect.Array, de.archivator.beans.DetailBean, java.lang.reflect.Field, org.compass.core.config.CompassConfiguration, de.archivator.entities.Schlagwort, de.archivator.altdaten.AltdatenKonverter, java.io.ByteArrayOutputStream, org.primefaces.component.tabview.Tab, javax.xml.bind.JAXBContext, javax.faces.event.ActionEvent, javax.faces.context.FacesContext, de.archivator.entities.Name, org.apache.catalina.deploy.ContextResource, de.archivator.beans.EditBean, org.compass.core.CompassIndexSession, java.math.BigInteger, javax.persistence.EntityTransaction, de.archivator.enties.Archivale, de.archivator.beans.Archivale, org.compass.core.CompassHits, com.itextpdf.text.pdf.draw.LineSeparator, javax.persistence.EntityManagerFactory, org.primefaces.model.UploadedFile, de.archivator.entities.Körperschaft, java.lang.reflect.Method, de.archivator.altdaten.model.Dataroot, java.lang.Class, de.archivator.entities.Koerperschaft, org.compass.core.CompassSearchSession, java.sql.Blob, T, de.archivator.beans.RechercheBean, javax.servlet.http.HttpServletResponse, java.util.ResourceBundle, javax.faces.event.PhaseEvent, java.io.InputStream, java.util.Iterator, java.lang.Boolean, java.util.Locale, java.lang.Object, de.archivator.entities.Archivale, org.apache.catalina.Context, java.util.List, org.compass.core.CompassSession, org.apache.catalina.startup.Tomcat, de.archivator.beans.LoginBean, de.archivator.beans.KoerperschaftenBean, de.archivator.beans.DokumentartenBean, org.openqa.selenium.firefox.FirefoxProfile, de.archivator.beans.SearchBean, org.compass.core.Compass, org.primefaces.component.tabview.TabView, de.archivator.beans.KörperschaftenBean, de.archivator.altdaten.model.TabelleX0020Archiv, Organisationseinheit, entities.Archivale, javax.faces.context.ExternalContext, javax.xml.bind.Unmarshaller, javax.xml.bind.ValidationEventLocator, org.primefaces.event.FileUploadEvent, javax.persistence.Query, de.archivator.entities.Organisationseinheit, 
archivator/, FreyaStahl, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 8, 0, 0, 5, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 14, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
archivator/, AtillaSchulz, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, e0_hansen, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, Atilla, 0, 4, 0, 0, 14, 1, 3, 0, 0, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 1, 35, 0, 1, 1, 2, 2, 1, 12, 0, 0, 1, 0, 4, 1, 5, 0, 1, 0, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 90, 2, 0, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 
archivator/, MariaEger, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, miri86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, Freya, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, e1_cakir, 2, 0, 0, 2, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 16, 0, 0, 10, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 28, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 
archivator/, D.Wiezorek, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 20, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, LetteFerhat, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, e0_eger, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 8, 0, 0, 5, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 14, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 
archivator/, e0_mmueller, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, e0_dreher, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 
archivator/, e0_spazier, 1, 1, 2, 3, 0, 0, 8, 0, 0, 3, 1, 0, 2, 0, 0, 21, 3, 1, 0, 0, 27, 0, 0, 15, 5, 13, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 3, 0, 18, 6, 0, 0, 13, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 13, 0, 53, 3, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 9, 0, 1, 0, 0, 0, 3, 5, 
archivator/, MIAHansen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, Jaqueline, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, J-Heinitz, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
archivator/, burghard.britzke, 3, 29, 2, 12, 33, 5, 121, 7, 0, 42, 1, 1, 8, 4, 4, 66, 31, 2, 4, 11, 462, 2, 12, 126, 22, 52, 11, 41, 7, 1, 4, 2, 6, 23, 32, 2, 3, 2, 8, 36, 0, 0, 4, 1, 41, 2, 22, 20, 6, 3, 0, 4, 0, 19, 14, 3, 2, 6, 2, 4, 1, 2, 10, 96, 2, 257, 24, 2, 2, 0, 3, 5, 7, 33, 4, 2, 28, 0, 0, 1, 2, 2, 2, 31, 40, 
