Project, Author, android.view.MotionEvent, javax.microedition.khronos.egl.EGLSurface, PreferencesEntry, int, float, android.view.Menu, javax.microedition.khronos.egl.EGLDisplay, android.app.ProgressDialog, java.util.ArrayList, java.util.Date, boolean, android.view.MenuInflater, java.lang.String, android.widget.AdapterView.AdapterContextMenuInfo, ContextMenu.ContextMenuInfo, com.bigbluecup.android.PEHelper, javax.microedition.khronos.opengles.GL10, android.widget.TextView, com.bigbluecup.android.PreferencesEntry, android.view.KeyEvent, com.bigbluecup.android.EngineGlue, long, android.text.Editable, javax.microedition.khronos.egl.EGLConfig, android.widget.ListView, com.bigbluecup.android.CustomGlSurfaceView, android.view.MenuItem, android.widget.Toast, android.view.ContextMenu.ContextMenuInfo, android.content.Intent, android.content.Context, android.view.SurfaceHolder, PreferencesArrayAdapter, com.bigbluecup.android.AgsEngine$MessageHandler, android.media.AudioManager, android.preference.ListPreference, com.bigbluecup.android.KeyCode, javax.microedition.khronos.egl.EGLContext, PreferencesEntry.Flags, android.content.SharedPreferences, android.widget.CheckBox, android.view.ViewGroup, com.bigbluecup.android.AgsEngine, android.content.DialogInterface, android.content.res.Configuration, android.os.Message, android.media.AudioTrack, com.bigbluecup.android.Renderer, android.preference.Preference, com.bigbluecup.android.Renderer$OGLRenderer, android.view.View, com.bigbluecup.android.IAgsApp, android.os.PowerManager, java.io.File, android.view.Display, android.view.LayoutInflater, com.bigbluecup.android.CustomGlSurfaceView$Renderer, short, android.view.ContextMenu, java.lang.Object, android.os.Bundle, android.preference.CheckBoxPreference, android.app.AlertDialog, java.lang.reflect.Array, android.content.SharedPreferences.Editor, javax.microedition.khronos.opengles.GL, javax.microedition.khronos.egl.EGL10, PowerManager.WakeLock, android.widget.EditText, android.view.inputmethod.InputMethodManager, android.preference.PreferenceGroup, 
ags/, Tobias, 2, 2, 2, 195, 22, 4, 2, 2, 10, 0, 40, 8, 56, 2, 2, 1, 0, 6, 4, 2, 2, 6, 2, 2, 4, 2, 8, 2, 2, 6, 6, 8, 4, 2, 2, 0, 0, 2, 2, 6, 4, 2, 4, 12, 6, 4, 2, 0, 0, 0, 14, 0, 2, 10, 0, 2, 4, 8, 4, 4, 20, 0, 6, 20, 0, 2, 2, 2, 2, 2, 0, 
ags/, s--d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Ori, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, BigMc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, CJ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, rofl0r, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Steven, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Michael, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 
ags/, jjsat, 1, 1, 1, 227, 11, 2, 1, 1, 8, 0, 26, 7, 53, 1, 1, 1, 0, 3, 5, 1, 1, 3, 1, 1, 2, 1, 7, 1, 1, 3, 3, 6, 8, 1, 1, 9, 0, 1, 4, 3, 2, 1, 2, 6, 3, 2, 1, 0, 6, 0, 7, 0, 1, 5, 0, 1, 2, 4, 2, 2, 16, 0, 3, 13, 1, 1, 1, 1, 1, 1, 15, 
ags/, Ivan, 2, 2, 7, 431, 22, 4, 2, 2, 23, 0, 47, 16, 150, 2, 7, 1, 0, 21, 12, 2, 2, 11, 2, 2, 19, 2, 11, 2, 2, 6, 16, 12, 15, 2, 2, 21, 0, 2, 5, 6, 14, 7, 4, 12, 6, 4, 2, 0, 16, 0, 34, 0, 2, 10, 1, 7, 4, 8, 9, 4, 26, 6, 6, 28, 8, 2, 2, 2, 2, 2, 30, 
ags/, Torbjörn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Cristian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Nick, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, JJS, 2, 1, 1, 79, 8, 0, 1, 0, 5, 3, 10, 1, 21, 0, 1, 0, 3, 3, 2, 1, 3, 5, 0, 2, 2, 1, 4, 0, 0, 1, 4, 4, 3, 1, 0, 0, 0, 1, 1, 0, 2, 1, 2, 4, 2, 2, 1, 1, 0, 1, 5, 0, 1, 8, 0, 1, 2, 2, 1, 2, 7, 0, 2, 7, 0, 1, 1, 1, 0, 0, 0, 
ags/, Scott, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, VisualSVN, 1, 1, 0, 74, 11, 2, 1, 1, 2, 0, 27, 3, 39, 1, 0, 1, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 6, 1, 1, 3, 1, 4, 0, 1, 1, 4, 4, 1, 0, 3, 0, 0, 16, 6, 3, 2, 1, 0, 3, 0, 3, 3, 1, 7, 1, 0, 2, 4, 1, 2, 12, 2, 3, 11, 2, 1, 1, 1, 1, 1, 4, 
ags/, Francesco, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Piotr, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
